lat,long
12.9175629124,77.5734471159
12.9176249821,77.5773779489
12.9171593674,77.5833687466
12.9170410149,77.5886585657
12.9168999955,77.5931451943
12.9168577865,77.5974690355
12.9166977747,77.6034667829
12.9167048167,77.6067416836
12.9166423284,77.6090389222
12.9163629189,77.615990527
12.9170802963,77.6217106411
12.91189777,77.62612268
12.90534806,77.63018404
12.89627974,77.63574793
12.889887,77.6396839
12.87873262,77.64657216
12.87069872,77.65292842
12.85872647,77.6624131
12.8541179001,77.6661175769
12.848213017,77.6707657613
12.8397195182,77.6773380844
12.8372718786,77.6789832218
12.82577,77.6831
12.8183296805,77.6898556447
12.8108153103,77.6957207283
12.8026773209,77.7044280222
12.8071208764,77.6987066951
12.8001769921,77.714856463
12.794054555,77.7220406685
12.7918675029,77.7303144774
12.7882287678,77.7370677123
12.7867914053,77.7420577022
12.7857056572,77.7506707016
12.7796878887,77.7705791813
12.7819303289,77.771816775
12.7911334135,77.7763035897
12.8061642374,77.7835420972
12.8155576035,77.7852277161
12.8235531283,77.7860399371
12.8276142697,77.786265669
12.835034839,77.7852959955
12.8374378029,77.7849760558
12.8421337699,77.783731358
12.844432526,77.7830958939
12.86098871,77.78363186
12.86140535,77.78545953
12.86195163,77.77203952
12.86770383,77.7670633
12.87225498,77.7663646
12.87926747,77.76154577
12.88168031,77.75692577
12.87941272,77.7537746
12.8835203558,77.7522103563
12.9008709155,77.7477386784
12.905705329,77.7464825101
12.9180174701,77.736843491
12.9214147758,77.7363279182
12.9288181431,77.7394998238
12.932882765,77.7426216041
12.9402850169,77.7472048597
12.9427185977,77.7469482609
12.95763027,77.74570483
12.96403558,77.74831013
12.9678283911,77.7494388912
12.97354479,77.75031785
12.97704662,77.75092716
12.9840887804,77.751140669
12.9851882267,77.7479085075
12.9865980232,77.7435312144
12.9874486235,77.7361441619
12.987808,77.733669
12.9881110864,77.7314937095
12.9911426314,77.7211108692
12.9918579566,77.7151408758
12.9928896858,77.705580251
12.9938264913,77.70179236
12.9955838224,77.6947966241
12.9970853113,77.6907617536
13.0002070819,77.6836387725
12.9998897774,77.6762811952
12.9963641151,77.6686619337
13.00403,77.66316
13.0112797581,77.6622782461
13.0169558991,77.6601492427
13.0194132923,77.6543329082
13.0224128976,77.6473376148
13.0252905854,77.6405366737
13.0263655654,77.6364009013
13.0293492135,77.6312559843
13.0404693824,77.623943217
13.04107,77.62088
13.04211,77.61355
13.0435839535,77.6008414027
13.0425463524,77.5899490435
13.0472535106,77.5756058112
13.04686,77.56867
13.0434248596,77.5609177351
13.0436587986,77.5567178987
13.0435779246,77.5532646092
13.0426292494,77.5501031522
13.0416313756,77.5473838198
13.0377955735,77.5419040583
13.028993,77.539621
13.0285687745,77.53626002
13.0247450341,77.5340353791
13.0229164381,77.5330702029
13.01862,77.53188
13.0116784014,77.5289398525
13.00752,77.52675
12.99721,77.52338
12.987259,77.519228
12.98784318,77.51542203
12.9858754668,77.5115981977
12.9791073316,77.5106893306
12.9752313718,77.5096262712
12.972274404,77.5080512278
12.9663146194,77.5050862972
12.9630313736,77.5050988829
12.9612044245,77.504669046
12.9573883116,77.50325175
12.9515294451,77.4997113179
12.9482686333,77.4971477967
12.9451481971,77.495464532
12.941121133,77.4934292492
12.9354613825,77.4923500014
12.93203937,77.48782169
12.92423931,77.48513225
12.92369599,77.4849336
12.92237251,77.48444049
12.91611473,77.48218418
12.91229468,77.48073544
12.91048265,77.48319013
12.91390887,77.48630136
12.91856635,77.49101582
12.92298999,77.49609302
12.92549401,77.49936587
12.93094676,77.50609263
12.93579871,77.51334378
12.93650258,77.51879023
12.9397491,77.52345121
12.94319771,77.52599614
12.94425,77.53012
12.938082524,77.5337524902
12.93505,77.53694
12.9336273763,77.539477665
12.9300788138,77.5439977739
12.9284066241,77.5460153818
12.9250089024,77.5508426666
12.9237692524,77.5541000627
12.9228205048,77.5602472667
12.9269235302,77.5613870379
12.9292645119,77.5641326141
12.9263340309,77.5698779896
12.92146,77.56975
12.919774,77.569262
